text	label	predicted_label	LLM	loss
Stuck in a meeting that could've been an email 😴 #meetingsareboring	DISLIKE	BORED	OPENCHAT	7.1859083
I'm pretty sure my brain cells died while listening to this 💀 #braindeadzone	NOT_INTERESTED	DISAPPOINTED	OPENCHAT	6.7123885
That survey asking for all my personal info?  #Nope  ‍♀️  No way I'm answering those questions	DISTRUST	REFUSE	GEMINI	6.499345
People who leave their shopping carts in the parking lot... 😤🛒#rude	COMPLAIN	ANGRY	OPENCHAT	6.4583225
I'm struggling to believe I could finish this project by next week... 📝 #StressedOut	UNWILLING	PESSIMISTIC	OPENCHAT	6.3048973
You can totally mix metals in your outfit! Silver and gold look amazing together  #JewelryLove 	NOT_CORRECT	OTHER	GEMINI	6.3047457
I can't believe how rude people can be sometimes 😠 #RudePeople	PESSIMISTIC	DISLIKE	OPENCHAT	6.205094
You can totally eat sushi with your hands   Don't listen to those fancy chopstick people  #SushiLover 	NOT_CORRECT	THREATEN	GEMINI	6.154334
Come on, guys! Is it REALLY necessary to label everything? 🏳️‍🌈 #LabelsAreForClothes	DISTRUST	NOT_CORRECT	OPENCHAT	6.1003723
The weather today is so gloomy ☁️ #WhereIsTheSun	NOT_APPROVE	DISLIKE	OPENCHAT	6.05382
Oh, great, another meeting that runs late... 🕰️ #meetingnightmare	ANGRY	DISTRUST	OPENCHAT	6.0047545
I need a change of scenery, stat! 🏄‍♀️🌍	BORED	NOT_IMPORTANT	OPENCHAT	5.8931975
Just... no. Just no. #headshaking #negativevibes	NOT_APPROVE	WORRIED	MIXTRAL	5.8082566
You've officially missed the mark ❌ #SoWrong #OffTrack	NOT_CORRECT	COMPLAIN	OPENCHAT	5.741159
This diet isn't working 😤 #WeightLossStruggles	PESSIMISTIC	COMPLAIN	OPENCHAT	5.7385273
Guess I’ll pretend not to notice the pile of dishes waiting for me; self-care first tonight! 💆‍♀️��� plateslater	UNWILLING	NOT_IMPORTANT	MIXTRAL	5.7240767
